Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Unnamed: 12,nutrition_risk
Mussels (3oz steamed),Protein/Seafood,146,20.40383641,6.186167405,4.180861051,0,0,304.0116463,48.65381013,Dinner,0,,Healthy
Tomato Sauce (1/2 cup),Condiment,40,1.453874727,7.171536526,0.954499646,2.080071409,4.055829111,354.5631544,0,Dinner,0,,Healthy
Pretzels (1 oz),Grain/Processed,110,2.908403266,23.39812385,1.038263228,0.954730381,0.978130071,462.1841558,0,Snack,0,,Moderate
Protein Bar,Supplement/Processed,210,19.62844304,21.77096094,7.015060071,5.995490008,1.002628555,181.358154,5.123318986,Snack,500,,Healthy
Chicken & Rice Soup (1 can),Meal/Processed,130,7.209485142,17.69811269,2.976837873,2.033005841,1.904899429,818.6598624,14.58787457,Lunch,250,,Moderate
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.126027485,9.359181094,4.442792018,1.943580308,5.969389031,126.4418767,0,Breakfast,240,,Healthy
French Bread (2 slices),Grain,180,5.906768898,36.39424556,0.960282159,1.91957049,1.951086131,385.5105958,0,Dinner,0,,Healthy
Root Beer (1 can),Beverage,150,0,39.04198165,0,0,39.87490504,57.55729055,0,Snack,355,,Moderate
Cheddar Cheese (1 oz),Dairy,115,7.324103589,1.020377462,9.649740234,0,0.493680062,171.4715652,31.4244767,Snack,0,,Healthy
Hash Browns (1 cup),Vegetable,330,3.106507105,39.44645777,18.76090755,2.875301841,1.031955911,547.676935,0,Breakfast,0,,Moderate
Eggplant (1/2 cup in caponata),Vegetable,40,0.522891921,6.219386819,2.03705248,1.930708431,2.973491454,150.3182322,0,Dinner,0,,Healthy
Protein Bar,Supplement/Processed,210,19.16548312,22.53778173,6.956113517,6.079752738,1.023638587,176.1983648,5.181359681,Snack,500,,Healthy
Protein Bar,Supplement/Processed,210,19.30408601,21.72522151,7.208176327,6.277957643,0.954954695,186.2558382,4.898848235,Snack,500,,Healthy
Pesto Sauce (1/4 cup),Condiment,260,4.948181049,4.074863438,26.52868176,2.011478932,0.964480607,533.4715472,5.013255897,Dinner,0,,Moderate
Chicken Kebab (2 skewers),Meal/Meat,280,31.12496427,7.995494006,13.69059462,3.061670665,3.946601866,486.6176553,81.75799711,Dinner,250,,Moderate
Sugar (1 tsp for cereal),Condiment,16,0,3.808288648,0,0,3.999929517,0,0,Breakfast,0,,Healthy
Muffin (Blueberry 1 large),Grain/Dessert,380,5.017029882,56.36924232,15.2116708,2.090383235,30.65152277,361.0467096,52.40396071,Breakfast,250,,Unhealthy
Baklava (1 piece),Dessert,280,2.989883357,30.56557998,18.45237772,1.981280375,20.37211196,82.84851553,10.37650234,Snack,0,,Moderate
Mango (1 cup slices),Fruit,99,1.437443945,24.78209463,0.616345747,2.59046357,21.83104505,1.980496663,0,Snack,0,,Moderate
White Bread (1 slice),Grain,70,1.92463989,12.72955032,0.980326356,0.612497407,1.15304305,134.6867341,0,Breakfast,0,,Healthy
Tofu Scramble,Meal/Vegetarian,250,20.20384282,8.162430507,15.93516418,4.015752372,3.079051686,300.689442,0,Breakfast,250,,Healthy
Gelato (Pistachio 1/2 cup),Dessert,220,4.823538605,23.00215748,11.45519508,2.082043911,20.1699899,61.85347721,39.46683779,Snack,0,,Moderate
Gelato (Pistachio 1/2 cup),Dessert,220,5.001730212,23.39651637,12.37535462,2.037288681,19.69048305,59.84890818,39.37357841,Snack,0,,Moderate
Capers (1 tbsp),Condiment,2,0.193843074,0.392102112,0.100203285,0.312995575,0.103661955,207.5315331,0,Dinner,0,,Healthy
Candied Fruit (1 tbsp),Fruit,30,0,8.205283321,0,0.513399883,8.339799923,4.86261543,0,Snack,0,,Healthy
Artichoke (1 medium steamed),Vegetable,60,4.141214909,13.54354868,0.205763176,6.778269789,1.2238986,114.9457406,0,Dinner,0,,Healthy
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,24.07037076,58.27177765,22.07707667,4.981244136,9.67958112,990.3220706,70.25509846,Dinner,500,,Moderate
Seitan (3oz),Protein/Vegetarian,90,17.58358906,4.021036022,1.03285436,0.966913862,0.989869559,314.7099472,0,Dinner,0,,Healthy
Corn Flakes (1 cup),Grain,100,2.010559473,23.79047868,0,1.009751189,3.045006033,190.6508468,0,Breakfast,0,,Healthy
Sriracha (1 tsp),Condiment,5,0.10025589,0.990977303,0.104231065,0.102727041,0.807815437,80.6659079,0,Dinner,0,,Healthy
Salmon (4oz grilled),Protein/Fish,230,24.55213791,0,14.03721421,0,0,57.84522282,58.60404226,Dinner,250,,Healthy
Guacamole (1/4 cup),Vegetable/Condiment,90,0.990240954,3.971739213,8.220682322,3.126377806,0.495207166,124.1799492,0,Dinner,0,,Healthy
Candied Fruit (1 tbsp),Fruit,30,0,7.690288534,0,0.498916303,7.882329229,4.969042114,0,Snack,0,,Healthy
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145,2.506546248,16.95008576,7.495832046,0.481959887,16.07973268,53.66701872,30.26144536,Snack,0,,Moderate
Focaccia (1 square),Grain,250,7.938215295,41.25071217,7.21876971,1.916058072,2.007401135,511.1778822,0,Lunch,0,,Moderate
Sake (3 oz),Beverage,117,0.38474148,3.901111955,0,0,0,3.811209051,0,Dinner,0,,Healthy
Coconut Milk (1/4 cup canned),Condiment,111,1.048159736,2.906996937,11.12660685,0.523061449,1.473187215,7.932105974,0,Dinner,0,,Healthy
Capers (1 tbsp),Condiment,2,0.201325525,0.408297735,0.098137284,0.289736305,0.102276711,200.4070878,0,Dinner,0,,Healthy
Kimchi Jjigae (1 bowl),Meal/Soup,350,15.39843363,20.7527051,21.01325203,4.758195713,6.176613994,1177.924699,30.92293662,Dinner,500,,Moderate
Orange Peel (garnish),Condiment,1,0,0.201441343,0,0.095507873,0,0,0,Snack,0,,Healthy
Refried Beans (1/2 cup),Legume,115,7.269151746,19.25919995,1.026117171,5.758359631,1.00445555,503.7939433,0,Dinner,0,,Healthy
Seitan (3oz),Protein/Vegetarian,90,17.95451998,3.841787163,1.021814027,1.009022302,0.973945648,294.5601241,0,Dinner,0,,Healthy
Eggs Benedict (1 serving),Meal/Protein,600,25.33175029,28.96841215,41.41463881,2.871911918,3.980283132,1085.239075,444.6747266,Breakfast,250,,Unhealthy
Tuna Sauce (2 tbsp),Condiment,100,3.971187556,1.004617886,8.636353716,0,0.505559274,192.3903607,15.13403328,Lunch,0,,Healthy
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.521363469,0,4.628080204,0,0,167.1616376,9.850222261,Dinner,0,,Healthy
Chili Powder (1 tsp),Condiment,8,0.288826255,1.376830365,0.396527685,0.912260472,0.203290654,10.12174504,0,Snack,0,,Healthy
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.189173694,8.636035979,4.648842629,2.067755422,6.269915438,129.1294398,0,Breakfast,240,,Healthy
Carrot (1/4 minced in sauce),Vegetable,10,0.200030424,2.414793803,0.095889059,0.688752504,1.196449852,16.18111643,0,Dinner,0,,Healthy
Cod (4oz baked),Protein/Fish,95,19.97156633,0,0.790803814,0,0,95.03113774,54.79504402,Dinner,250,,Healthy
Soda (1 can Coke),Beverage,140,0,38.7885314,0,0,40.07755363,46.82667581,0,Snack,355,,Moderate
Turkey Burger (1 patty),Protein/Meat,160,21.79034853,2.03734699,8.078885809,0,1.002926676,399.7359632,70.75349648,Lunch,250,,Healthy
Side Salad (light dressing),Vegetable,70,2.048057281,7.895314051,3.880426838,3.077348598,2.947987972,146.7008974,0,Dinner,0,,Healthy
Tempeh (3oz),Protein/Vegetarian,160,15.55362709,7.842918737,8.904146682,4.953806664,0,10.30966231,0,Lunch,0,,Healthy
Mushroom (White 1 cup sliced),Vegetable,15,2.101963227,2.411291767,0.195215607,0.674630415,1.426775837,4.048990694,0,Dinner,0,,Healthy
Pate (Mushroom 2 tbsp),Condiment,70,0.953915036,1.980994436,6.827605854,1.017765918,1.025833202,100.6799095,0,Dinner,0,,Healthy
Onion (1/2 cup raw chopped),Vegetable,32,0.881435567,7.734872459,0.103297691,1.388622851,3.812412692,2.941187096,0,Dinner,0,,Healthy
Cheese Whiz (2 tbsp),Condiment/Processed,90,3.965439515,2.910912802,7.322687944,0,2.082969179,522.8029476,19.02156306,Lunch,0,,Moderate
Malva Pudding (1 slice),Dessert,380,4.820926148,62.10674075,13.75525665,2.035377204,40.30433525,342.1036443,62.85457532,Snack,0,,Moderate
Oyster (1 medium raw),Protein/Seafood,8,1.038983101,0.506105978,0.190640313,0,0,49.68826452,10.02941804,Dinner,0,,Healthy
Congee (1 cup plain),Meal/Grain,130,2.398194218,27.06337504,0.984563411,0.97903205,0.50641458,288.5654091,0,Breakfast,0,,Healthy
Campari & Soda (1 drink),Beverage,85,0,9.60372254,0,0,9.794488507,24.86434379,0,Snack,150,,Healthy
Turkey Burger (1 patty),Protein/Meat,160,22.79062544,2.016164612,7.626496101,0,0.970779568,391.1735913,69.51876828,Lunch,250,,Healthy
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.163914805,9.42658799,4.420423459,2.020503024,6.148218942,123.000842,0,Breakfast,240,,Healthy
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,11.70238402,10.06336006,9.522675536,1.92459253,0.973806547,553.1310381,57.06537545,Lunch,0,,Moderate
Waffle Cone (1 small),Grain,70,1.04204684,12.74813862,1.50795236,0.521595043,7.099061686,30.09792082,5.187093168,Snack,0,,Healthy
Tzatziki Sauce (2 tbsp),Condiment,30,1.567610536,2.050549804,1.913653944,0,1.425646328,104.2356864,5.107212985,Dinner,0,,Healthy
Sauerkraut (1/4 cup side),Vegetable,7,0.288542882,1.495122833,0,1.007195757,0.626174481,224.6493557,0,Lunch,0,,Healthy
Cottage Cheese (1/2 cup),Dairy,90,12.43878028,4.843378304,3.053915581,0,4.190196593,380.4718091,9.91559983,Snack,0,,Healthy
Brie Cheese (1 oz),Dairy,95,6.130239935,0.104176966,7.766256734,0,0.097879347,171.9919177,29.26484777,Snack,0,,Healthy
Ramen (Instant 1 pack),Meal/Processed,380,9.140572784,50.91741696,14.53951854,1.997217194,2.091384814,1579.197915,0,Lunch,500,,Moderate
Cilantro (2 tbsp garnish),Condiment,1,0.096632708,0,0,0.103686377,0,0,0,Lunch,0,,Healthy
Salami (3 slices),Protein/Processed,110,6.092158743,0.951587619,8.719737846,0,0.509635453,485.9530501,28.66029873,Snack,0,,Moderate
Ketchup (1 packet),Condiment,10,0.097629606,2.549256351,0,0.103934986,1.982999207,92.99559741,0,Breakfast,0,,Healthy
T-Bone Steak (6oz),Protein/Meat,460,37.54312462,0,34.1292431,0,0,114.0129616,102.8881642,Dinner,0,,Moderate
Side Salad (light dressing),Vegetable,70,1.93854115,7.851012435,3.990223937,3.066126256,3.023790703,150.3402327,0,Dinner,0,,Healthy
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.472450528,0,4.592226577,0,0,157.3763891,10.36989781,Dinner,0,,Healthy
Macaroni Salad (1 cup),Meal/Pasta,380,8.129015896,30.54828969,25.00836475,2.983664851,5.774884905,716.2089446,19.61627301,Lunch,0,,Unhealthy
White Rice (1 cup cooked),Grain,204,4.172827038,43.01964681,0.396918148,0.605439695,0.10044117,2.026585929,0,Dinner,0,,Healthy
Aioli (Garlic 1 tbsp),Condiment,95,0.099559334,0.482307642,10.93552833,0,0.102279374,69.1639942,5.17523356,Dinner,0,,Healthy
Pear,Fruit,101,0.607808004,27.2620173,0.206521564,5.555348646,16.46854207,2.017117883,0,Snack,0,,Healthy
Macadamia Nuts (1 oz),Nut,204,2.281815399,3.992141591,21.65949024,2.515313378,1.271328628,1.038144213,0,Snack,0,,Moderate
Turkey Chili (1 cup),Meal/Meat,250,21.44846571,24.71969366,7.081031515,7.652731967,5.849940062,714.7516749,48.4236225,Dinner,250,,Healthy
Black Pepper (1 tsp),Condiment,6,0.203460424,1.435467302,0.099555843,0.5917643,0,0,0,Lunch,0,,Healthy
Beer (12 oz light),Beverage,103,0.934203124,5.950627289,0,0,0.298039411,10.34394577,0,Snack,355,,Healthy
Cucumber Salad (1/2 cup),Vegetable,40,1.012000636,4.860596215,1.988517687,1.042642305,3.917109595,208.5842688,0,Dinner,0,,Healthy
Red Cabbage (1 cup raw),Vegetable,22,1.105199728,4.972802155,0.100438007,1.52711082,2.742981501,7.811054697,0,Dinner,0,,Healthy
Goat Cheese (1 oz),Dairy,103,6.017526237,0.099801673,8.202100387,0,0.102914116,147.2762759,21.81903257,Lunch,0,,Healthy
Salmon (4oz grilled),Protein/Fish,230,24.20332179,0,13.62696866,0,0,61.62669522,57.3074573,Dinner,250,,Healthy
Beef Steak (6oz sirloin),Protein/Meat,270,42.2895868,0,10.45922325,0,0,94.13271816,110.4457525,Dinner,250,,Healthy
Avocado Toast (1 slice),Meal/Vegetarian,260,6.909407922,28.44183228,14.73904676,10.0338784,0.967894799,343.6667829,0,Breakfast,500,,Healthy
French Fries (side),Vegetable/Processed,340,4.193745762,44.54664149,16.969185,3.807267239,0.300936035,236.5274587,0,Dinner,0,,Moderate
Tomato Soup (1 can),Meal/Vegetable,170,3.84960031,23.9857255,6.05956153,4.052469555,14.94090598,876.8317511,9.860304802,Lunch,0,,Moderate
Arugula (2 cups),Vegetable,10,0.975273669,0.811071759,0.194974282,0.408119183,0.382342224,5.719300053,0,Lunch,0,,Healthy
Raisins (1 tbsp),Fruit,27,0.310742962,7.048629218,0,0.291314531,6.162055833,0.984039149,0,Dinner,0,,Healthy
Olive Oil (1 tbsp drizzle),Condiment,120,0,0,13.74839307,0,0,0,0,Lunch,0,,Healthy
Ceviche (1 cup fish),Meal/Fish,180,24.79090531,15.1868938,2.061578982,2.965539037,4.148621447,692.961896,42.87520761,Lunch,0,,Moderate
Raita (2 tbsp),Condiment/Dairy,30,1.02174657,2.066631301,1.99064639,0.48906653,1.500223344,95.0192004,4.869331545,Dinner,0,,Healthy
Beer (12 oz light),Beverage,103,0.894165032,5.751297517,0,0,0.292823529,9.889520931,0,Snack,355,,Healthy
Egg Yolk (1 large in sauce),Protein,55,2.635740382,0.629266731,4.304299365,0,0.314654526,8.060844557,175.5304981,Dinner,0,,Healthy
Potato Chips (1 oz),Snack/Processed,160,1.969520118,14.50474522,9.909718808,0.976457792,0.51697873,167.8009239,0,Snack,0,,Healthy
Jasmine Rice (1 cup cooked),Grain,205,4.377154581,43.9329104,0.408903482,0.575043558,0,1.949021718,0,Dinner,0,,Healthy
Aji Amarillo Paste (1 tsp),Condiment,5,0.098994651,1.046662861,0,0.492679464,0.490029884,51.20865361,0,Dinner,0,,Healthy
French Fries (medium),Vegetable/Processed,340,3.973399722,45.2630548,17.64118685,3.916617706,0.301295787,225.851775,0,Dinner,0,,Moderate
Chocolate Pudding (1/2 cup),Dessert,150,2.093581535,29.33309397,4.130503079,2.04891329,22.45237298,125.7447513,2.048931937,Snack,0,,Moderate
Grits (1 cup cooked),Grain,150,2.992594986,31.30096368,1.012614761,1.918265122,0.517809211,315.7087602,0,Breakfast,0,,Healthy
Sweet Potato (1 medium baked),Vegetable,103,2.246268953,23.26473524,0.203626748,3.928843091,7.627258879,39.99996807,0,Dinner,0,,Healthy
Grilled Cheese Sandwich,Meal/Processed,390,15.59764964,31.29751427,20.98013232,3.037124518,4.121066497,761.1179189,60.80621195,Lunch,0,,Unhealthy
Watermelon (1 cup diced),Fruit,46,0.889183209,11.56720373,0.197994144,0.619498566,9.818598815,1.99761155,0,Snack,0,,Healthy
White Rice (1 cup cooked),Grain,204,4.084126593,46.07047072,0.419984092,0.615870706,0.102983555,2.085918171,0,Dinner,0,,Healthy
Arugula (2 cups),Vegetable,10,1.021601298,0.833884076,0.206890646,0.405798167,0.418894563,6.143687849,0,Lunch,0,,Healthy
Bruschetta (2 pcs),Snack/Appetizer,180,3.861626192,24.13257614,7.345122909,2.972912506,3.826222752,345.4447698,0,Snack,0,,Healthy
Duck (3oz roasted),Protein/Meat,285,15.9552997,0,23.41583385,0,0,65.21779209,71.89227316,Dinner,0,,Moderate
Gochugaru (1 tsp),Condiment,10,0.30287306,1.734208865,0.308206013,0.508477945,0.288035106,1.037133919,0,Dinner,0,,Healthy
Vodka (1.5 oz),Beverage,97,0,0,0,0,0,0,0,Snack,0,,Healthy
Lentil Soup (1 can),Meal/Legume,230,14.54747043,36.08801082,3.127009961,11.48930694,5.985985698,639.8022091,0,Lunch,250,,Healthy
Guava,Fruit,68,2.511138394,14.24404621,0.897425887,5.579553446,8.538524866,2.912616643,0,Snack,0,,Healthy
Watermelon (1 cup diced),Fruit,46,0.884372249,11.39698787,0.198275186,0.58285099,9.148734389,1.996221271,0,Snack,0,,Healthy
Flan (1 slice),Dessert,220,6.288816178,35.72950167,7.240861088,0,31.38401252,77.28703528,87.57502431,Snack,0,,Moderate
Hot Sauce (1 tsp Tabasco),Condiment,0,0,0,0,0,0,33.30655643,0,Breakfast,0,,Healthy
Baguette (slice),Grain,70,2.413037277,14.63452747,0.477714912,0.580887395,0.520980552,152.7216065,0,Lunch,0,,Healthy
Canadian Bacon (2 slices),Protein/Meat,80,11.8055515,1.020904571,3.063919971,0,0.966547552,629.5887917,38.51897735,Breakfast,0,,Moderate
Raisins (1 tbsp),Fruit,27,0.299555138,7.27744377,0,0.285028771,5.980035697,0.960124796,0,Dinner,0,,Healthy
Onion (1/8 minced in sauce),Vegetable,5,0.09813512,1.181534049,0,0.196301884,0.590607305,1.01528951,0,Dinner,0,,Healthy
Figs (2 medium),Fruit,74,0.610791128,19.72331855,0.291113944,2.833087313,15.68215769,2.053961858,0,Snack,0,,Moderate
Lobster (3oz steamed),Protein/Seafood,76,15.75031188,0,0.733116854,0,0,240.7547668,128.811688,Dinner,250,,Healthy
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.548504806,0,4.591075649,0,0,159.7784822,9.938777013,Dinner,0,,Healthy
Chocolate Pudding (1/2 cup),Dessert,150,1.997052617,26.92741876,4.094518579,1.924860091,21.59762466,126.4780071,2.020870612,Snack,0,,Moderate
Angostura Bitters (dash),Condiment,5,0,0,0,0,0,0,0,Snack,0,,Healthy
Diet Soda (1 can),Beverage,0,0,0,0,0,0,38.2206325,0,Lunch,355,,Healthy
Bruschetta (2 pcs),Snack/Appetizer,180,3.964578843,25.19478941,7.038618354,2.988200605,4.147805532,353.4321706,0,Snack,0,,Healthy
Mozzarella (filling 0.5 oz),Dairy,40,2.891262493,0.5036209,2.955211884,0,0.203334084,73.71726393,9.962404584,Snack,0,,Healthy
Pork Chop (4oz grilled),Protein/Meat,220,30.1266818,0,9.602088853,0,0,69.0257017,83.82419004,Dinner,250,,Healthy
Raita (2 tbsp),Condiment/Dairy,30,1.02268123,1.948129919,2.029099136,0.508927375,1.44977759,103.12771,5.234185104,Dinner,0,,Healthy
Coffee Liqueur (1 oz),Beverage,100,0,15.54283004,0,0,14.89943893,1.974531215,0,Snack,0,,Moderate
Matcha Latte (12 oz),Beverage,180,5.714433904,29.36270807,4.899814606,1.936694423,23.99072933,92.46065044,20.16195088,Snack,355,,Moderate
Club Soda (2 oz),Beverage,0,0,0,0,0,0,20.87010174,0,Snack,0,,Healthy
Lemon Slice (garnish),Condiment,1,0,0.312405697,0,0.100499087,0.103019345,0,0,Lunch,0,,Healthy
Tuna Salad (1/2 cup),Meal/Fish,190,18.35330723,1.937476014,11.47370109,0.959781484,0.960701658,386.0142828,30.74298624,Lunch,500,,Healthy
Saltimbocca (1 serving),Meal/Meat,380,39.00898113,4.985636666,23.0635738,0.504638711,0.954801851,856.5563278,119.0830054,Dinner,0,,Unhealthy
Feta Cheese (1 oz),Dairy,75,3.941368399,1.248287293,6.279498097,0,0.724559146,306.7132229,24.64707273,Lunch,0,,Healthy
Hot Sauce (1 tsp Tabasco),Condiment,0,0,0,0,0,0,33.54994034,0,Breakfast,0,,Healthy
Root Beer (1 can),Beverage,150,0,40.14870768,0,0,38.88372962,56.82696695,0,Snack,355,,Moderate
Rosemary (1 tsp topping),Condiment,1,0,0.201692743,0,0.09627611,0,0,0,Lunch,0,,Healthy
Quesadilla (Cheese 1 medium),Meal/Processed,400,18.06625074,34.00709601,22.92481301,3.103178489,2.011346358,711.3843414,49.34977619,Lunch,250,,Unhealthy
Amaretti Cookie (2 cookies),Dessert,90,1.971012644,12.50793519,3.888040424,0.960371482,9.805049769,10.39131322,0,Snack,0,,Healthy
Onion (1/8 minced in sauce),Vegetable,5,0.096667452,1.15291443,0,0.202664557,0.609983846,1.035468742,0,Dinner,0,,Healthy
Caprese Salad,Meal/Vegetable,240,9.720821259,8.272231211,17.50757104,1.947550892,4.799854174,345.8701612,41.59076947,Lunch,250,,Moderate
Cashews (1 oz roasted),Nut,163,4.470660467,8.77405106,12.9007667,0.867678121,1.341592775,139.2121877,0,Snack,0,,Healthy
Congee (1 cup plain),Meal/Grain,130,2.450107633,28.0678512,0.982508526,1.030732966,0.485075192,288.4931925,0,Breakfast,0,,Healthy
Collard Greens (1 cup cooked),Vegetable,60,5.225478495,9.860739489,0.957486554,6.923793376,0.962384846,41.21403911,0,Dinner,0,,Healthy
Cranberry Juice (1 cup),Beverage,130,0,31.42701374,0,0,29.2789742,9.955308289,0,Breakfast,240,,Moderate
Orange Slice (garnish),Fruit,5,0.10117398,0.984622907,0,0.2000453,0.814681652,0,0,Snack,0,,Healthy
Oregano (1 tsp),Condiment,3,0.096589595,0.680951091,0,0.192816672,0,0,0,Dinner,0,,Healthy
Orange Juice (1 cup),Beverage,112,1.646200497,25.94931315,0.482427856,0.668568956,21.23534304,2.010920527,0,Breakfast,240,,Moderate
Frosting (Vanilla 2 tbsp),Condiment,140,0,22.86800857,5.969981686,0,21.68881184,68.15429541,0,Snack,0,,Moderate
Bread Roll (hoagie),Grain,200,6.215495681,37.99106551,2.081421728,1.925410456,2.937436323,382.1989228,0,Lunch,0,,Healthy
Mozzarella (filling 0.5 oz),Dairy,40,2.870081777,0.483216041,3.136669716,0,0.196027017,76.48754581,10.35919721,Snack,0,,Healthy
Green Curry Paste (1 tbsp),Condiment,30,0.503332,1.914652814,2.510827004,0.951156731,1.016298034,381.8744841,0,Dinner,0,,Healthy
Pretzels (1 oz),Grain/Processed,110,3.029185329,22.25098043,1.04185283,0.98132328,1.008978093,467.9896554,0,Snack,0,,Moderate
Mixed Nuts (1/4 cup),Nut,200,5.725220604,7.839274617,18.14910274,3.111749254,2.074181308,1.01482219,0,Snack,0,,Moderate
Ham (3oz deli sliced),Protein/Meat,110,16.52071274,1.972799495,4.101792254,0,1.530941161,987.8950779,44.51890377,Lunch,0,,Moderate
Cheese Danish,Dessert,340,6.840056733,39.12899228,18.61914392,2.071735034,16.72292676,307.082795,52.48491561,Breakfast,250,,Moderate
S'more (1 serving),Dessert,140,2.043087796,25.40564659,3.903803277,1.047718576,15.48094525,90.40526666,0,Snack,0,,Moderate
Bok Choy (1 cup steamed),Vegetable,10,1.490441569,2.025309539,0.098029162,0.975188936,0.987610134,40.93714441,0,Dinner,0,,Healthy
Coconut (shredded garnish),Fruit,10,0.099046725,0.510072903,1.026991495,0.205968736,0.104221597,0,0,Snack,0,,Healthy
Simple Syrup (1/2 oz),Condiment,30,0,8.2416964,0,0,7.68011586,0,0,Snack,0,,Healthy
Vegetable Soup (1 can),Meal/Vegetable,140,3.948298701,21.57017938,3.937173305,6.213028818,7.897668578,750.5863775,5.04637684,Lunch,250,,Healthy
Stale Bread (1/2 cup in soup),Grain,80,3.128806322,14.43803809,0.989016902,1.013457054,1.484556109,159.1619565,0,Dinner,0,,Healthy
